Nom de la gare;Code UIC;Total Voyageurs + Non voyageurs 2022;Total Voyageurs + Non voyageurs 2021;Total Voyageurs + Non voyageurs 2020;Total Voyageurs + Non voyageurs 2019
La Garenne-Colombes;386003;4891934;3919745;1963825;4101287
La Gorp;584755;148282;109282;73619;106126
La Guerche-sur-l'Aubois;576470;44444;33282;32199;36367
La Hisse;478156;1143;1639;1385;835
La Hutte Coulombiers;396093;20419;11900;8862;17621
La Levade;775247;710;598;448;1020
La Membrolle-sur-Choisille;571513;784;100;591;1498
La Ménitré;487884;182454;125368;96478;167703
La Meyze;592808;2493;2251;1776;2759
La Pauline Hyères;755314;161149;137394;85658;119168
La Réole;582866;335515;263718;186949;271188
La Rochelle;485003;3407936;2606852;1887280;2830359
La Suze;396366;141602;102898;76263;156941
Lachaud Curmilhac;731828;1126;922;985;1425
Lacourtensourt;611434;64625;46036;34168;42915
Lafarge;592733;1087;1345;2755;4155
Laifour;172072;12363;12973;12463;13098
L'Aigle;444638;241879;167247;126355;190645
Laigneville;276204;204187;182346;149764;216752
Landivisiau;474270;256816;178212;142321;189189
Langeac;734319;26287;21742;15948;25507
Langogne;734350;35739;25922;20007;28294
L'Arbresle;721431;903449;715485;612641;950385
L'Ariane La Trinité;751529;31761;23030;15559;31204
Laval;478404;1967982;1490102;1106735;1842106
Le Bosquet;757757;111383;95809;52529;85092
Le Cendre - Orcet;734160;183887;142300;132225;165263
Le Chénay Gagny;113522;2779109;2851761;1562549;3268600
Le Coteau;726828;95659;76485;53349;84195
Le Dorat;592543;19239;16282;14433;19196
Le Genest-Saint-Isle;478743;22134;16978;13634;33964
Le Grand Jardin;444323;8324;12044;15895;29111
Le Havre Graville;413203;1559;1430;512;993
Le Péage-de-Roussillon;722678;1157288;874409;723749;1082408
Le Plessis Chenet;681627;33260;36744;10114;40266
Le Stade;381095;2801735;2248596;1211425;2477161
Le Theil-de-Bretagne;471342;25403;14312;12032;12541
Le Toec;353573;5100;4022;5366;5295
Le Tréport - Mers-les-Bains;317529;55023;37709;28429;34731
Le Verdon-sur-Mer;581389;14292;12882;7964;10343
Les Ardoines;492108;2139277;1871348;1011006;2591321
Les Boullereaux Champigny;113779;2344609;1915290;1240481;2828851
Les Coquetiers;113845;1181755;946919;1618216;1049625
Les Églisottes-et-Chalaures;584532;22336;16819;18059;21979
Les Essarts-le-Roi;393280;652253;567670;369081;789251
Les Islettes;175711;0;34;28;83
Les Laumes Alésia;713115;234198;183653;170280;209064
Les Mais;473587;87;25;476;840
Les Ormes;575118;5174;3648;2261;2882
Les Pélerins;746776;4558;4288;3262;3969
Les Ramassiers;353581;12704;10919;10162;9323
Les Sables Blancs;476267;617;690;335;364
Les Yvris Noisy-le-Grand;113803;755412;592431;423167;933786
Lesparre-Médoc;581314;127687;106889;74228;107129
Lesseux - Frapelle;144329;0;0;0;0
L'Étang-la-Ville;382473;543856;491321;229738;523719
Lezennes;287102;644;582;532;1207
Lézignan-Corbières;615112;138459;107698;71123;97511
Liart;172544;331;288;203;274
Ligugé;575274;16716;11914;8284;9088
Limeray;574335;12253;9055;7270;6352
Limoges Montjovis;592022;25342;16405;11896;18657
Limoux;615161;28250;17568;7083;7516
Lisieux;444265;1505778;1029186;827905;1440757
L'Isle-Adam - Parmain;276527;938074;855329;462888;927670
L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse;765479;184050;139105;97109;164832
L'Isle-sur-le-Doubs;184572;123373;96931;86730;106385
L'Isthme;476275;1241;1585;992;2014
Livry-sur-Seine;682401;92740;101959;51652;112341
Loison-sous-Lens;345231;9319;7817;7162;15112
Longjumeau;393611;396645;317888;136777;480402
Longueil-Sainte-Marie;276303;38261;34405;24630;40050
Longueville-sur-Scie;415141;30580;25177;21705;29584
Loos lez Lille;286112;42385;30951;24225;40088
Lothiers;597104;52;39;45;388
Lourches;343475;9165;6932;8826;15041
Louverné;478511;909;208;100;158
Luçon;486258;84144;44455;26261;54757
Lure;185249;296687;223924;207498;243662
Lussac-les-Châteaux;575845;28000;22124;17096;22309
Luttenbach-près-Munster;182543;10862;8902;6372;10194
Lyon Jean Macé;282624;1842339;1404298;1021862;1476601
Macau;581199;58233;51231;34157;55197
Mailly-la-Ville;683847;7557;4580;3609;5072
Malansac;476689;68061;50063;30972;37905
Malaunay - Le Houlme;411256;74523;61899;58505;90023
Mamirolle;718510;19006;12182;15420;21159
Manduel - Redessan;775064;956;1532;1419;6122
Marchezais - Broué;393470;192096;160596;144837;255807
Margival;271882;1;0;0;1
